"question_id","question","answerable","expected_document","reference_answer","category","difficulty","evaluation_focus"
"1","According to FETH's 2024 annual filing, what is the Sponsor Fee rate, what asset base is it applied to, and how often does it accrue and get paid?","true","0000950170-25-039374","FETH charges an annual unified fee of 0.25% of Ether Holdings. It is calculated using the prior day's Ether Holdings, accrues daily in ether, and is payable monthly in ether or cash.","Factual","medium","precise multi-fact retrieval"
"2","According to FBTC's 2024 annual filing, what is the Sponsor Fee rate, what asset base is it applied to, and how often does it accrue and get paid?","true","0000950170-25-039452","FBTC charges an annual unified fee of 0.25% of Bitcoin Holdings. It is calculated using the prior day's Bitcoin Holdings, accrues daily in bitcoin, and is payable monthly in bitcoin or cash.","Factual","medium","precise multi-fact retrieval"
"3","Describe ETHA's 2024 launch using the seeding date, number and price of seed shares, total seed proceeds, ether purchased, and commencement date.","true","0001437749-25-006261","ETHA was seeded on May 21, 2024 with 400,000 shares at $25.00 each, producing $10 million. On June 24, 2024 it purchased approximately 3,031 ether and commenced operations.","Factual","hard","table and narrative evidence combination"
"4","In IBIT's Q1 2025 filing, where do the shares trade, which benchmark is used to value bitcoin, and when is NAV determined on a Business Day?","true","0001437749-25-015168","IBIT trades on NASDAQ. Bitcoin is valued using the CME CF Bitcoin Reference Rate – New York Variant, and NAV is determined as soon as practicable after 4:00 p.m. Eastern Time on each Business Day.","Factual","medium","section-level multi-fact retrieval"
"5","What investment objective does GBTC describe in its 2024 annual filing, where are its shares listed, and does it seek returns beyond tracking Bitcoin?","true","0000950170-25-029408","GBTC is listed on NYSE Arca. Its objective is for share value, based on Bitcoin per Share, to reflect the value of its Bitcoin less expenses and liabilities. It does not seek returns beyond tracking Bitcoin's price.","Factual","medium","objective and venue retrieval"
"6","What commencement date, ticker, and registered exchange are reported for Fidelity Ethereum Fund in its 2024 annual filing?","true","0000950170-25-039374","Fidelity Ethereum Fund commenced operations on July 23, 2024, uses ticker FETH, and is registered on Cboe BZX Exchange, Inc.","Factual","medium","table retrieval with exact fields"
"7","When did FBTC commence operations, how many shares form a Basket, and what determines the quantity of bitcoin attributable to each Basket?","true","0000950170-25-039452","FBTC commenced operations on January 11, 2024. A Basket contains 25,000 shares and is based on the bitcoin attributable to each share, net of accrued but unpaid expenses and liabilities.","Factual","medium","linked facts across a business section"
"8","Which firms had agreed to act as Authorized Participants for ETHE as of its 2024 annual filing, and where were ETHE shares listed?","true","0000950170-25-029411","Jane Street Capital, LLC; Virtu Americas LLC; Macquarie Capital (USA) Inc.; ABN AMRO Clearing USA LLC; and Goldman Sachs & Co. LLC had agreed to act as Authorized Participants. ETHE shares were listed on NYSE Arca.","Factual","hard","entity-list extraction and venue retrieval"
"9","Explain the daily-to-monthly process by which FETH's Sponsor Fee is calculated, accrued, and paid.","true","0000950170-25-039374","The Administrator calculates the fee each day using the prior day's Ether Holdings. The fee accrues daily in ether and is paid monthly in ether or cash.","Procedural","medium","ordered process extraction"
"10","Explain the daily-to-monthly process by which FBTC's Sponsor Fee is calculated, accrued, and paid.","true","0000950170-25-039452","The Administrator calculates the fee each day using the prior day's Bitcoin Holdings. The fee accrues daily in bitcoin and is paid monthly in bitcoin or cash.","Procedural","medium","ordered process extraction"
"11","How does IBIT determine NAV on a Business Day, from valuing bitcoin through calculating NAV per Share?","true","0001437749-25-015168","After 4:00 p.m. ET, IBIT values bitcoin using the CME CF Bitcoin Reference Rate – New York Variant, subtracts accrued fees, expenses, and liabilities from total assets to obtain net asset value, and divides by shares outstanding to calculate NAV per Share.","Procedural","hard","multi-step financial procedure"
"12","How did ETHA move from seed investment to active operations in 2024?","true","0001437749-25-006261","The seed investor purchased 400,000 shares at $25.00 each on May 21, 2024. ETHA then used the $10 million proceeds to purchase approximately 3,031 ether through the Prime Execution Agent on June 24, 2024, when operations and daily Sponsor Fee accrual began.","Procedural","hard","chronological synthesis"
"13","What must a party do to become an Authorized Participant for FETH, and how could Baskets be purchased or redeemed at commencement?","true","0000950170-25-039374","A party must satisfy the disclosed broker-dealer and DTC-participant requirements and enter into an Authorized Participant Agreement with the Distributor. At commencement, Authorized Participants could purchase or redeem Baskets only for cash.","Procedural","hard","eligibility conditions and transaction method"
"14","How does FBTC issue or redeem shares, and how is a Basket tied to the Trust's bitcoin holdings?","true","0000950170-25-039452","FBTC issues and redeems shares in blocks of 25,000 shares called Baskets. The Basket is based on the bitcoin attributable to each share after accrued but unpaid expenses and liabilities.","Procedural","medium","mechanism explanation"
"15","How is GBTC designed to provide Bitcoin exposure, and what deductions prevent its shares from perfectly matching the gross Bitcoin price?","true","0000950170-25-029408","GBTC passively holds Bitcoin and seeks for its share value to reflect the Bitcoin it holds by reference to the Index Price. Trust expenses and other liabilities are deducted, and the Trust does not seek returns beyond tracking Bitcoin.","Procedural","medium","objective-mechanics explanation"
"16","How does ETHA's Sponsor Fee accrue and how may it be paid according to the 2024 annual filing?","true","0001437749-25-006261","ETHA's Sponsor Fee accrues daily at an annualized rate of 0.25% of NAV and is payable at least quarterly in arrears in U.S. dollars, in kind, or a combination of both.","Procedural","medium","fee process retrieval"
"17","Compare FETH and FBTC Sponsor Fees by rate, calculation base, accrual asset, and payment timing.","true","0000950170-25-039374; 0000950170-25-039452","Both charge 0.25% annually and calculate the fee daily using prior-day holdings. FETH uses Ether Holdings and accrues in ether; FBTC uses Bitcoin Holdings and accrues in bitcoin. Both are payable monthly in the relevant crypto asset or cash.","Comparison","hard","two-document structured comparison"
"18","Compare ETHA and FETH Sponsor Fee mechanics, including rate, calculation base, and payment frequency.","true","0001437749-25-006261; 0000950170-25-039374","Both disclose a 0.25% annual rate. ETHA applies it to NAV, accrues it daily, and pays at least quarterly in arrears in dollars, in kind, or both. FETH applies it to Ether Holdings, accrues daily in ether, and pays monthly in ether or cash.","Comparison","hard","cross-sponsor fee comparison"
"19","Compare IBIT and GBTC by trading venue and stated approach to Bitcoin exposure.","true","0001437749-25-015168; 0000950170-25-029408","IBIT trades on NASDAQ and values its Bitcoin using the CME CF Bitcoin Reference Rate – New York Variant. GBTC trades on NYSE Arca and seeks for its shares to reflect held Bitcoin using its Index Price, less expenses and liabilities. Both provide passive Bitcoin exposure.","Comparison","hard","two-document product comparison"
"20","Compare ETHA and ETHE by underlying crypto asset and listing exchange.","true","0001437749-25-006261; 0000950170-25-029411","Both provide exposure to ether. ETHA is listed on NASDAQ, while ETHE is listed on NYSE Arca.","Comparison","medium","two-document attribute comparison"
"21","Compare FBTC and FETH by commencement date, underlying asset, and Sponsor Fee base.","true","0000950170-25-039452; 0000950170-25-039374","FBTC commenced January 11, 2024, holds Bitcoin, and bases its 0.25% fee on Bitcoin Holdings. FETH commenced July 23, 2024, holds ether, and bases its 0.25% fee on Ether Holdings.","Comparison","hard","multi-attribute temporal comparison"
"22","Which began operations first, ETHA or FETH, by how many days, and on which exchanges do they trade?","true","0001437749-25-006261; 0000950170-25-039374","ETHA began operations first on June 24, 2024. FETH began on July 23, 2024, 29 days later. ETHA trades on NASDAQ and FETH on Cboe BZX Exchange, Inc.","Comparison","hard","date calculation plus retrieval"
