"question_id","question","answerable","expected_document","reference_answer","category","difficulty","evaluation_focus","required_claims","reference_evidence","unanswerable_reason"
"1","According to FETH's 2024 annual filing, what is the Sponsor Fee rate, what asset base is it applied to, and how often does it accrue and get paid?","true","0000950170-25-039374","FETH charges an annual unified fee of 0.25% of Ether Holdings. It is calculated using the prior day's Ether Holdings, accrues daily in ether, and is payable monthly in ether or cash.","Factual","medium","precise multi-fact retrieval","[""FETH’s annual Sponsor Fee rate is 0.25%."",""The fee base is FETH’s Ether Holdings."",""The Administrator calculates the fee daily using the prior day’s Ether Holdings."",""The fee accrues daily."",""The fee accrues in ether."",""The fee is payable monthly in ether or cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":2,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":3,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":4,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":5,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":6,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""}]",""
"2","According to FBTC's 2024 annual filing, what is the Sponsor Fee rate, what asset base is it applied to, and how often does it accrue and get paid?","true","0000950170-25-039452","FBTC charges an annual unified fee of 0.25% of Bitcoin Holdings. It is calculated using the prior day's Bitcoin Holdings, accrues daily in bitcoin, and is payable monthly in bitcoin or cash.","Factual","medium","precise multi-fact retrieval","[""FBTC’s annual Sponsor Fee rate is 0.25%."",""The fee base is FBTC’s Bitcoin Holdings."",""The Administrator calculates the fee daily using the prior day’s Bitcoin Holdings."",""The fee accrues daily."",""The fee accrues in bitcoin."",""The fee is payable monthly in bitcoin or cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust pays the Sponsor an annual unified fee of 0.25% of the Trust’s Bitcoin Holdings (the ‘Sponsor Fee’).""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust pays the Sponsor an annual unified fee of 0.25% of the Trust’s Bitcoin Holdings (the ‘Sponsor Fee’).""},{""claim_index"":3,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":4,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":5,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":6,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""}]",""
"3","Describe ETHA's 2024 launch using the seeding date, number and price of seed shares, total seed proceeds, ether purchased, and commencement date.","true","0001437749-25-006261","ETHA was seeded on May 21, 2024 with 400,000 shares at $25.00 each, producing $10 million. On June 24, 2024 it purchased approximately 3,031 ether and commenced operations.","Factual","hard","table and narrative evidence combination","[""ETHA’s seed transaction occurred on May 21, 2024."",""The seed transaction comprised 400,000 shares at $25.00 per share."",""The seed transaction produced $10 million in proceeds."",""On June 24, 2024, ETHA purchased approximately 3,031 ether with the seed proceeds."",""ETHA commenced operations on June 24, 2024.""]","[{""claim_index"":1,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On May 21, 2024, the Seed Capital Investor, an affiliate of the Sponsor, subject to conditions, purchased the Seed Creation Baskets, comprising 400,000 Shares at a per Share price equal to $25.00. Total proceeds to the Trust from the sale of the Seed Creation Baskets were $10,000,000.""},{""claim_index"":2,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On May 21, 2024, the Seed Capital Investor, an affiliate of the Sponsor, subject to conditions, purchased the Seed Creation Baskets, comprising 400,000 Shares at a per Share price equal to $25.00. Total proceeds to the Trust from the sale of the Seed Creation Baskets were $10,000,000.""},{""claim_index"":3,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On May 21, 2024, the Seed Capital Investor, an affiliate of the Sponsor, subject to conditions, purchased the Seed Creation Baskets, comprising 400,000 Shares at a per Share price equal to $25.00. Total proceeds to the Trust from the sale of the Seed Creation Baskets were $10,000,000.""},{""claim_index"":4,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""},{""claim_index"":5,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""}]",""
"4","In IBIT’s Q1 2025 filing, where do the shares trade, which benchmark is used to value bitcoin, when is NAV calculated, and when is it normally released?","true","0001437749-25-015168","IBIT trades on NASDAQ and values bitcoin using the CME CF Bitcoin Reference Rate – New York Variant. NAV is calculated as soon as practicable after 4:00 p.m. ET on each Business Day and is normally released to the public by 5:30 p.m. ET, generally no later than 8:00 p.m. ET.","Factual","medium","section-level multi-fact retrieval","[""IBIT shares trade on NASDAQ."",""IBIT uses the CME CF Bitcoin Reference Rate – New York Variant to value bitcoin."",""NAV is calculated as soon as practicable after 4:00 p.m. ET on each Business Day."",""NAV is normally released to the public by 5:30 p.m. ET."",""NAV is generally released no later than 8:00 p.m. ET.""]","[{""claim_index"":1,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements"",""supporting_passage"":""The Shares were listed on The Nasdaq Stock Market LLC (‘NASDAQ’) on January 11, 2024. The Trust seeks to reflect generally the performance of the price of bitcoin. The Trust seeks to reflect such performance before payment of the Trust’s expenses and liabilities.""},{""claim_index"":2,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Valuation of Bitcoin"",""supporting_passage"":""The CME CF Bitcoin Reference Rate – New York Variant for the Bitcoin – U.S. Dollar trading pair (the ‘CF Benchmarks Index’) shall constitute the Index, unless the CF Benchmarks Index is not available or the Sponsor in its sole discretion determines the CF Benchmarks Index is unreliable as the Index and therefore determines not to use the CF Benchmarks Index as the Index.""},{""claim_index"":3,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Calculation of Net Asset Value"",""supporting_passage"":""On each Business Day, as soon as practicable after 4:00 p.m. ET, the net asset value of the Trust is obtained by subtracting all accrued fees, expenses and other liabilities of the Trust from the total assets held by the Trust. The Trust Administrator computes the NAV by dividing the net asset value of the Trust by the number of Shares outstanding.""},{""claim_index"":4,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — NAV Release"",""supporting_passage"":""Upon the completion of the end of day reviews by the Trust Administrator the NAV is released to the public typically by 5:30 p.m. ET and generally no later than 8:00 p.m. ET.""},{""claim_index"":5,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — NAV Release"",""supporting_passage"":""Upon the completion of the end of day reviews by the Trust Administrator the NAV is released to the public typically by 5:30 p.m. ET and generally no later than 8:00 p.m. ET.""}]",""
"5","What investment objective does GBTC describe in its 2024 annual filing, where are its shares listed, and does it seek returns beyond tracking Bitcoin?","true","0000950170-25-029408","GBTC is listed on NYSE Arca. Its objective is for share value, based on Bitcoin per Share, to reflect the value of its Bitcoin less expenses and liabilities. It does not seek returns beyond tracking Bitcoin's price.","Factual","medium","objective and venue retrieval","[""GBTC shares are listed on NYSE Arca."",""GBTC seeks for share value, based on Bitcoin per Share, to reflect the value of Bitcoin held by the Trust."",""GBTC determines that value by reference to the Index Price after deducting expenses and other liabilities."",""GBTC does not seek returns beyond tracking Bitcoin’s price.""]","[{""claim_index"":1,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":2,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":3,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":4,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""}]",""
"6","What commencement date, ticker, and registered exchange are reported for Fidelity Ethereum Fund in its 2024 annual filing?","true","0000950170-25-039374","Fidelity Ethereum Fund commenced operations on July 23, 2024, uses ticker FETH, and is registered on Cboe BZX Exchange, Inc.","Factual","medium","table retrieval with exact fields","[""FETH commenced operations on July 23, 2024."",""The fund’s ticker is FETH."",""FETH shares are listed on Cboe BZX Exchange, Inc.""]","[{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On July 23, 2024, the Trust commenced operations and Shares commenced trading on the Exchange.""},{""claim_index"":2,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Filing metadata — ticker"",""supporting_passage"":""FETH""},{""claim_index"":3,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares of the Trust are listed on the Cboe BZX Exchange, Inc. (‘Cboe BZX’).""}]",""
"7","When did FBTC commence operations, how many shares form a Basket, and what determines the quantity of bitcoin attributable to each Basket?","true","0000950170-25-039452","FBTC commenced operations on January 11, 2024. A Basket contains 25,000 shares and is based on the bitcoin attributable to each share, net of accrued but unpaid expenses and liabilities.","Factual","medium","linked facts across a business section","[""FBTC commenced operations on January 11, 2024."",""An FBTC Basket contains 25,000 shares."",""The bitcoin attributable to a Basket is based on bitcoin attributable to each share, net of accrued but unpaid expenses and liabilities.""]","[{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Financial Statements and Supplementary Data"",""supporting_passage"":""On January 11, 2024, the Trust commenced operations and Shares commenced trading on Cboe BZX Exchange, Inc.""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""},{""claim_index"":3,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""}]",""
"8","Which firms had agreed to act as Authorized Participants for ETHE as of its 2024 annual filing, and where were ETHE shares listed?","true","0000950170-25-029411","Jane Street Capital, LLC; Virtu Americas LLC; Macquarie Capital (USA) Inc.; ABN AMRO Clearing USA LLC; and Goldman Sachs & Co. LLC had agreed to act as Authorized Participants. ETHE shares were listed on NYSE Arca.","Factual","hard","entity-list extraction and venue retrieval","[""Jane Street Capital, LLC had agreed to act as an ETHE Authorized Participant."",""Virtu Americas LLC had agreed to act as an ETHE Authorized Participant."",""Macquarie Capital (USA) Inc. had agreed to act as an ETHE Authorized Participant."",""ABN AMRO Clearing USA LLC had agreed to act as an ETHE Authorized Participant."",""Goldman Sachs & Co. LLC had agreed to act as an ETHE Authorized Participant."",""ETHE shares were listed on NYSE Arca.""]","[{""claim_index"":1,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""As of the date of this Annual Report, the Sponsor, on behalf of the Trust, and the Transfer Agent entered into Participant Agreements with Jane Street Capital, LLC, Virtu Americas LLC, Macquarie Capital (USA) Inc., ABN AMRO Clearing USA LLC, and Goldman Sachs & Co. LLC, pursuant to which such entities have agreed to act as Authorized Participants.""},{""claim_index"":2,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""As of the date of this Annual Report, the Sponsor, on behalf of the Trust, and the Transfer Agent entered into Participant Agreements with Jane Street Capital, LLC, Virtu Americas LLC, Macquarie Capital (USA) Inc., ABN AMRO Clearing USA LLC, and Goldman Sachs & Co. LLC, pursuant to which such entities have agreed to act as Authorized Participants.""},{""claim_index"":3,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""As of the date of this Annual Report, the Sponsor, on behalf of the Trust, and the Transfer Agent entered into Participant Agreements with Jane Street Capital, LLC, Virtu Americas LLC, Macquarie Capital (USA) Inc., ABN AMRO Clearing USA LLC, and Goldman Sachs & Co. LLC, pursuant to which such entities have agreed to act as Authorized Participants.""},{""claim_index"":4,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""As of the date of this Annual Report, the Sponsor, on behalf of the Trust, and the Transfer Agent entered into Participant Agreements with Jane Street Capital, LLC, Virtu Americas LLC, Macquarie Capital (USA) Inc., ABN AMRO Clearing USA LLC, and Goldman Sachs & Co. LLC, pursuant to which such entities have agreed to act as Authorized Participants.""},{""claim_index"":5,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""As of the date of this Annual Report, the Sponsor, on behalf of the Trust, and the Transfer Agent entered into Participant Agreements with Jane Street Capital, LLC, Virtu Americas LLC, Macquarie Capital (USA) Inc., ABN AMRO Clearing USA LLC, and Goldman Sachs & Co. LLC, pursuant to which such entities have agreed to act as Authorized Participants.""},{""claim_index"":6,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘ETHE.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Ether per Share, to reflect the value of the Ether held by the Trust.""}]",""
"9","Explain the daily-to-monthly process by which FETH's Sponsor Fee is calculated, accrued, and paid.","true","0000950170-25-039374","The Administrator calculates the fee each day using the prior day's Ether Holdings. The fee accrues daily in ether and is paid monthly in ether or cash.","Procedural","medium","ordered process extraction","[""The Administrator calculates FETH’s fee daily using the prior day’s Ether Holdings."",""FETH’s fee accrues daily in ether."",""FETH’s fee is payable monthly in ether or cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":2,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":3,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""}]",""
"10","Explain the daily-to-monthly process by which FBTC's Sponsor Fee is calculated, accrued, and paid.","true","0000950170-25-039452","The Administrator calculates the fee each day using the prior day's Bitcoin Holdings. The fee accrues daily in bitcoin and is paid monthly in bitcoin or cash.","Procedural","medium","ordered process extraction","[""The Administrator calculates FBTC’s fee daily using the prior day’s Bitcoin Holdings."",""FBTC’s fee accrues daily in bitcoin."",""FBTC’s fee is payable monthly in bitcoin or cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":3,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""}]",""
